Site      Inst    Year   MM   DD Jday   hh   mm        #     Conc      LWC     Rain      dBZ       Dm     DMax  Sigma_M    Wx_Code4677
UW       apu30    2015    3   28   87    0   50 1806.00000 2513.40845    0.36191    3.89015   26.01467    0.78707    1.41600    0.03881   59
UW       apu30    2015    3   28   87    0   51 1526.00000 2100.92505    0.26306    2.80011   23.53223    0.72893    1.22300    0.02829   59
UW       apu30    2015    3   28   87    0   52 1576.00000 2061.26318    0.28427    2.79831   23.16672    0.70218    1.22300    0.01686   59
UW       apu30    2015    3   28   87    0   53 1720.00000 2325.36304    0.28070    2.57235   22.18943    0.65792    0.96500    0.01221   59
UW       apu30    2015    3   28   87    0   54  971.00000 1480.18201    0.12249    1.01346   16.99525    0.58150    0.83600    0.01002   59
UW       apu30    2015    3   28   87    0   55 1090.00000 1992.23523    0.11235    0.74765   14.78055    0.50556    0.70800    0.00712   55
UW       apu30    2015    3   28   87    0   56  670.00000 1226.68433    0.06671    0.44430   12.61121    0.50584    0.83600    0.00886   55
UW       apu30    2015    3   28   87    0   57 1636.00000 2328.68701    0.29044    2.83936   23.96022    0.72053    1.41600    0.03338   88
UW       apu30    2015    3   28   87    0   58 2425.00000 3635.48218    0.33793    3.04465   22.98265    0.63810    1.22300    0.02412   59
UW       apu30    2015    3   28   87    0   59 2230.00000 3464.29126    0.31081    2.73291   22.43483    0.63105    1.09400    0.02264   90
UW       apu30    2015    3   28   87    1    0 1568.00000 2718.55518    0.17905    1.32209   17.93783    0.54590    0.83600    0.01154   59
UW       apu30    2015    3   28   87    1    1 1811.00000 3126.22241    0.19869    1.49519   18.25985    0.54183    0.83600    0.01079   59
UW       apu30    2015    3   28   87    1    2 1598.00000 2721.06787    0.19424    1.52758   20.27575    0.58552    1.67400    0.03685   59
UW       apu30    2015    3   28   87    1    3 1759.00000 2864.85767    0.26718    2.33935   23.11508    0.66464    1.67400    0.04580   59
UW       apu30    2015    3   28   87    1    4 2467.00000 3668.92188    0.34703    3.18129   23.80443    0.65179    1.67400    0.03703   59
UW       apu30    2015    3   28   87    1    5 2624.00000 3903.84302    0.39996    3.78363   25.21630    0.68645    1.67400    0.04704   59
UW       apu30    2015    3   28   87    1    6 2412.00000 3646.16479    0.33791    3.00242   23.10274    0.63572    1.41600    0.02789   59
UW       apu30    2015    3   28   87    1    7 2283.00000 3270.98462    0.30476    2.85684   22.74180    0.64232    1.41600    0.02811   59
UW       apu30    2015    3   28   87    1    8 2621.00000 3754.83667    0.37289    3.35925   23.53725    0.64102    1.41600    0.02515   59
UW       apu30    2015    3   28   87    1    9 2238.00000 3040.72144    0.29347    2.71685   21.79995    0.62079    1.09400    0.01595   59
UW       apu30    2015    3   28   87    1   10 2453.00000 3771.72241    0.33924    2.83424   22.38751    0.61314    1.09400    0.01925   59
UW       apu30    2015    3   28   87    1   11 2471.00000 3669.96338    0.32837    2.83624   22.09012    0.60776    1.09400    0.01768   59
UW       apu30    2015    3   28   87    1   12 2387.00000 3360.62012    0.33336    3.01684   22.98744    0.63710    1.41600    0.02539   59
UW       apu30    2015    3   28   87    1   13 2773.00000 3762.39429    0.43707    4.11517   25.11896    0.67786    1.67400    0.03316   59
